specimen_id,species_id,scenario,view,notes,brightness,cap_color,cap_shape,cap_surface,clustered_growth,coarse_case,colour_ratios.brown,colour_ratios.dark,colour_ratios.orange_red,colour_ratios.orange_yellow,colour_ratios.red,colour_ratios.white,coral_branching,detected_parts,dominant_color,has_ridges,hymenophore_type,mask_used,morphology_case,puffball_surface,secondary_color,stem_color,stem_ring,stem_surface,surface_texture,trait_confidence.cap_aspect_ratio,trait_confidence.cap_brightness,trait_confidence.cap_circularity,trait_confidence.cap_color,trait_confidence.cap_colour_ratios,trait_confidence.cap_secondary_color,trait_confidence.cap_shape,trait_confidence.cap_surface,trait_confidence.coral_branch_density,trait_confidence.coral_branching,trait_confidence.coral_brightness,trait_confidence.coral_color,trait_confidence.coral_endpoints,trait_confidence.coral_junctions,trait_confidence.hymenophore_confidence,trait_confidence.hymenophore_type,trait_confidence.puffball_aspect_ratio,trait_confidence.puffball_brightness,trait_confidence.puffball_roundness,trait_confidence.puffball_surface,trait_confidence.stem_aspect_ratio,trait_confidence.stem_brightness,trait_confidence.stem_color,trait_confidence.stem_ring,trait_confidence.stem_surface,trait_confidence.stem_thickness,trait_confidence.underside_color,trait_confidence.whole_color,trait_source_by_key.cap_aspect_ratio,trait_source_by_key.cap_brightness,trait_source_by_key.cap_circularity,trait_source_by_key.cap_color,trait_source_by_key.cap_colour_ratios,trait_source_by_key.cap_secondary_color,trait_source_by_key.cap_shape,trait_source_by_key.cap_surface,trait_source_by_key.coral_branch_density,trait_source_by_key.coral_branching,trait_source_by_key.coral_brightness,trait_source_by_key.coral_color,trait_source_by_key.coral_endpoints,trait_source_by_key.coral_junctions,trait_source_by_key.hymenophore_confidence,trait_source_by_key.hymenophore_type,trait_source_by_key.puffball_aspect_ratio,trait_source_by_key.puffball_brightness,trait_source_by_key.puffball_roundness,trait_source_by_key.puffball_surface,trait_source_by_key.stem_aspect_ratio,trait_source_by_key.stem_brightness,trait_source_by_key.stem_color,trait_source_by_key.stem_ring,trait_source_by_key.stem_surface,trait_source_by_key.stem_thickness,trait_source_by_key.underside_color,trait_source_by_key.whole_color,underside_color,whole_color
CA.CI_016,CA.CI,confusing,above,paired above_idx=2 below_idx=1; chanterelle;folds;yellow; source=Svampeatlas/GBIF; occurrence=5898634658; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,wavy,,,uncertain,0.17,0.156,0.001,0.18,0.009,0.026,,[],yellow,True,,False,uncertain,,olive-brown,,,,scaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA.CI_016,CA.CI,confusing,below,paired above_idx=2 below_idx=1; chanterelle;folds;yellow; source=Svampeatlas/GBIF; occurrence=5898634658; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,grey,unknown,unknown,True,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['stem'],grey,False,unknown,True,uncertain,smooth,grey,grey,present,smooth,smooth,,,,,,,,,,,,,,,,,0.277,0.277,0.277,0.277,0.145,0.145,0.145,0.145,0.145,0.145,,0.277,,,,,,,,,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,grey
CA.TU_047,CA.TU,ood,above,paired above_idx=1 below_idx=2; funnel_chanterelle;folds;hollow_stem; source=Svampeatlas/GBIF; occurrence=5898631275; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,olive-brown,wavy,fibrous,True,classical,0.244,0.26,0.0,0.053,0.001,0.031,unknown,['cap'],olive-brown,False,unknown,True,uncertain,smooth,orange,unknown,unknown,unknown,fibrous,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,,,,,,,,,0.324,0.324,0.324,0.324,,,,,,,,0.324,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,olive-brown
CA.TU_047,CA.TU,ood,below,paired above_idx=1 below_idx=2; funnel_chanterelle;folds;hollow_stem; source=Svampeatlas/GBIF; occurrence=5898631275; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,white,unknown,unknown,False,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['underside'],white,False,gills,True,uncertain,smooth,white,unknown,unknown,unknown,smooth,,,,,,,,,,,,,,,0.218,0.218,0.208,0.208,0.208,0.208,,,,,,,0.218,0.208,,,,,,,,,,,,,,,yolo_underside_mask,yolo_underside_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,yolo_underside_mask,yolo_whole_mask,white,white
CAL.GI_051,CAL.GI,puffball,above,paired above_idx=1 below_idx=1; puffball has no underside view; above image intentionally reused for below; source=Svampeatlas/GBIF; occurrence=5106485911,bright,olive-brown,unknown,scaly,True,classical,0.026,0.005,0.0,0.138,0.001,0.211,unknown,['cap'],olive-brown,False,unknown,True,uncertain,warty,olive-brown,unknown,unknown,unknown,scaly,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,,,,,,,,,0.75,0.75,0.75,0.75,,,,,,,,0.75,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,olive-brown
CAL.GI_051,CAL.GI,puffball,below,paired above_idx=1 below_idx=1; puffball has no underside view; above image intentionally reused for below; source=Svampeatlas/GBIF; occurrence=5106485911,bright,olive-brown,unknown,scaly,True,classical,0.026,0.005,0.0,0.138,0.001,0.211,unknown,['cap'],olive-brown,False,unknown,True,uncertain,warty,olive-brown,unknown,unknown,unknown,scaly,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,,,,,,,,,0.75,0.75,0.75,0.75,,,,,,,,0.75,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,olive-brown
CO.CO_031,CO.CO,edge_case,above,paired above_idx=2 below_idx=1; inkcap;gills;edge_case_age; source=Svampeatlas/GBIF; occurrence=5898627048; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,flat,,,uncertain,0.097,0.386,0.004,0.095,0.012,0.049,,[],olive-brown,True,,False,uncertain,,olive-brown,,,,scaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO.CO_031,CO.CO,edge_case,below,paired above_idx=2 below_idx=1; inkcap;gills;edge_case_age; source=Svampeatlas/GBIF; occurrence=5898627048; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,flat,,,uncertain,0.082,0.482,0.005,0.149,0.003,0.065,,[],black,True,,False,uncertain,,olive-brown,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR.CO_033,CR.CO,confusing,above,paired above_idx=1 below_idx=2; trumpet;dark;funnel; source=Svampeatlas/GBIF; occurrence=5052247678; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,dark,grey,unknown,smooth,True,classical,0.002,0.604,0.0,0.0,0.0,0.0,unknown,"['cap', 'underside']",grey,True,ridges,True,classical_unknown,smooth,grey,unknown,unknown,unknown,smooth,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.548,,,,,,,0.133,0.133,0.351,0.351,0.351,0.351,,,,,,,0.133,0.351,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,yolo_underside_mask,yolo_underside_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,yolo_underside_mask,yolo_whole_mask,grey,grey
CR.CO_033,CR.CO,confusing,below,paired above_idx=1 below_idx=2; trumpet;dark;funnel; source=Svampeatlas/GBIF; occurrence=5052247678; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,dark,,wavy,,,uncertain,0.179,0.45,0.014,0.037,0.008,0.0,,[],olive-brown,True,,False,uncertain,,black,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO.BE_035,FO.BE,easy,above,paired above_idx=2 below_idx=1; polypore;bracket;wood; source=Svampeatlas/GBIF; occurrence=5106480117; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,,wavy,,,uncertain,0.031,0.003,0.002,0.158,0.025,0.122,,[],grey,True,,False,uncertain,,grey,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO.BE_035,FO.BE,easy,below,paired above_idx=2 below_idx=1; polypore;bracket;wood; source=Svampeatlas/GBIF; occurrence=5106480117; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,flat,,,uncertain,0.343,0.037,0.004,0.158,0.051,0.041,,[],grey,True,,False,uncertain,,grey,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA.MA_043,GA.MA,ood,above,paired above_idx=1 below_idx=2; extremely_toxic;small_brown_gills;confusing_pair; source=Svampeatlas/GBIF; occurrence=5898634047; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view; orientation_corrected: swapped above/below after visual audit,medium,,flat,,,uncertain,0.045,0.164,0.008,0.11,0.071,0.005,,[],yellow-green,True,,False,uncertain,,yellow-green,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA.MA_043,GA.MA,ood,below,paired above_idx=1 below_idx=2; extremely_toxic;small_brown_gills;confusing_pair; source=Svampeatlas/GBIF; occurrence=5898634047; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view; orientation_corrected: swapped above/below after visual audit,medium,orange,wavy,smooth,True,classical,0.619,0.0,0.0,0.015,0.0,0.007,unknown,"['cap', 'underside']",orange,True,ridges,True,classical_unknown,smooth,grey,unknown,unknown,unknown,smooth,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,,,,,,,0.128,0.128,0.149,0.149,0.149,0.149,,,,,,,0.128,0.149,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,yolo_underside_mask,yolo_underside_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,yolo_underside_mask,yolo_whole_mask,orange,orange
GY.ES_041,GY.ES,ood,above,paired above_idx=1 below_idx=2; toxic;false_morel;brain_like;confusing_pair; source=Svampeatlas/GBIF; occurrence=4847336116; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,grey,unknown,unknown,False,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['underside'],grey,False,gills,True,uncertain,smooth,grey,unknown,unknown,unknown,smooth,,,,,,,,,,,,,,,0.118,0.118,0.24,0.24,0.24,0.24,,,,,,,0.118,0.24,,,,,,,,,,,,,,,yolo_underside_mask,yolo_underside_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,yolo_underside_mask,yolo_whole_mask,grey,grey
GY.ES_041,GY.ES,ood,below,paired above_idx=1 below_idx=2; toxic;false_morel;brain_like;confusing_pair; source=Svampeatlas/GBIF; occurrence=4847336116; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,white,unknown,unknown,False,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['stem'],white,False,unknown,True,uncertain,warty,white,white,present,scaly,warty,,,,,,,,,,,,,,,,,0.171,0.171,0.171,0.171,0.09,0.09,0.09,0.09,0.09,0.09,,0.171,,,,,,,,,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,white
HY.PS_019,HY.PS,confusing,above,paired above_idx=1 below_idx=2; confusing_pair;orange;gills; source=Svampeatlas/GBIF; occurrence=5052245313; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,orange,unknown,smooth,False,classical,0.3,0.001,0.036,0.724,0.386,0.021,unknown,['cap'],orange,False,unknown,True,uncertain,smooth,orange,unknown,unknown,unknown,smooth,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,,,,,,,,,0.75,0.75,0.75,0.75,,,,,,,,0.75,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,orange
HY.PS_019,HY.PS,confusing,below,paired above_idx=1 below_idx=2; confusing_pair;orange;gills; source=Svampeatlas/GBIF; occurrence=5052245313; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,grey,unknown,unknown,True,coral,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['coral'],grey,False,unknown,True,coral,smooth,grey,unknown,unknown,unknown,smooth,,,,,,,,,0.594,0.594,0.594,0.594,0.594,0.594,,,0.675,0.675,0.675,0.675,,,,,,,,0.675,,,,,,,,,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,grey
HY.RE_049,HY.RE,ood,above,paired above_idx=2 below_idx=1; teeth;hedgehog;edible; source=Svampeatlas/GBIF; occurrence=5898630302; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,orange,flat,smooth,False,classical,0.553,0.011,0.209,0.598,0.447,0.012,unknown,"['cap', 'stem']",orange,False,unknown,True,classical_convex,smooth,orange,grey,absent,smooth,smooth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.136,0.136,0.136,0.136,0.136,0.136,,0.0,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,orange
HY.RE_049,HY.RE,ood,below,paired above_idx=2 below_idx=1; teeth;hedgehog;edible; source=Svampeatlas/GBIF; occurrence=5898630302; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,dark,,wavy,,,uncertain,0.17,0.577,0.048,0.124,0.07,0.0,,[],olive-brown,True,,False,uncertain,,black,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA.HE_022,LA.HE,easy,above,paired above_idx=3 below_idx=1; milkcap;latex;toxic; source=Svampeatlas/GBIF; occurrence=4940908615; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,grey,unknown,unknown,False,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['stem'],grey,False,unknown,True,uncertain,smooth,grey,grey,present,smooth,smooth,,,,,,,,,,,,,,,,,0.478,0.478,0.478,0.478,0.411,0.411,0.411,0.411,0.411,0.411,,0.478,,,,,,,,,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,grey
LA.HE_022,LA.HE,easy,below,paired above_idx=3 below_idx=1; milkcap;latex;toxic; source=Svampeatlas/GBIF; occurrence=4940908615; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,,wavy,,,uncertain,0.126,0.002,0.029,0.231,0.058,0.272,,[],tan,True,,False,uncertain,,olive-brown,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LY.PE_037,LY.PE,puffball,above,paired above_idx=2 below_idx=1; puffball;round;spines; source=Svampeatlas/GBIF; occurrence=5898626078; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,dark,olive-brown,irregular,smooth,False,classical,0.342,0.338,0.0,0.009,0.0,0.0,unknown,['cap'],olive-brown,False,unknown,True,uncertain,smooth,red,unknown,unknown,unknown,smooth,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,,,,,,,,,0.338,0.338,0.338,0.338,,,,,,,,0.338,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,olive-brown
